state,source_type,source_url,title,identifier,status,last_seen_date,summary_snippet,keywords_matched,confidence,notes,airtable_category,content_hash,session
CA,legislature site,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2399,Bill Text - AB-2399 Real property tax: welfare exemption: community land trusts.,AB 2399,Amended,2026-03-14,Bill Text - AB-2399 Real property tax: welfare exemption: community land trusts. skip to content home accessibility FAQ feedback sitemap login x Quick Search: Bill Number Bill Keyword Home Bill Information California Law Publications Other Resources My Subscriptions My Favorites Bill Information >> ,community land trust,High,,Standards for Tax Assessments/Guidance,4db775cce9d47bbe3869fa49d64193a0b57fac39b3c8486908ad4df37d931525,
CA,legislature site,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2400,Bill Text - AB-2400 General plan: annual report: suite-style student housing quarters.,AB 2400,Amended,2026-03-14,Bill Text - AB-2400 General plan: annual report: suite-style student housing quarters. skip to content home accessibility FAQ feedback sitemap login x Quick Search: Bill Number Bill Keyword Home Bill Information California Law Publications Other Resources My Subscriptions My Favorites Bill Informati,community land trust,Low,,Definition of CLT,178a3e84e7f52ee5312da236106fd900c4cc5977b1096d7cec324edcfc1d8ce0,
NY,legislature api,https://legislation.nysenate.gov/api/3/bills/2024/A604,Relates to the transfer and use of certain state land to the city of New Rochelle for the construction of municipal fire services and affordable housing,A604,Assembly Floor Calendar,2026-03-14,Relates to the transfer and use of certain state land to the city of New Rochelle for the construction of municipal fire services and affordable housing; extends authority to transfer.,community land trust,Low,,Affordability Covenants,574f04e1a2218e9279c89c15072f11f08968c34ec3094b5e67c92f7fd7992434,2024
NY,legislature api,https://legislation.nysenate.gov/api/3/bills/2023/A604,Relates to the transfer and use of certain state land to the city of New Rochelle for the construction of municipal fire services and affordable housing,A604,Assembly Floor Calendar,2026-03-14,Relates to the transfer and use of certain state land to the city of New Rochelle for the construction of municipal fire services and affordable housing; extends authority to transfer.,community land trust,Low,,Affordability Covenants,574f04e1a2218e9279c89c15072f11f08968c34ec3094b5e67c92f7fd7992434,2023
NY,legislature api,https://legislation.nysenate.gov/api/3/bills/2025/S2324,Relates to the sale or transfer of certain real property by the state or public authorities,S2324,In Assembly Committee,2026-03-14,Relates to the sale or transfer of certain real property by the state or public authorities; requires mandatory review by the attorney general and comptroller of the sale of certain real property; requires notice to members of the legislature and county executives in districts and counties in which ,surplus land,Low,,Surplus Land/Land Banking,bd28760ecddba716667cfc070bb91c2c6a3804f5a49d291a139ecbf342711f30,2025
VT,legislature site,https://legislature.vermont.gov/bill/status/2026/H.91,Bill Status H.91,H.91,Introduced,2026-03-14,"Bill Status H.91 Skip to content Skip to navigation Skip to subnav Searching 2025-2026 Session Return to current session Vermont General Assembly Toggle navigation Toggle search Home Bills & Resolutions Search Bill, Act & Resolution Search Bills Released for Introduction House Bills Senate Bills All",community land trust,Low,,Definition of CLT,d3564aa15026214ffe2b565335053c7d773891284b2320f6776756f62e9b5101,2026
VT,legislature site,https://legislature.vermont.gov/bill/status/2024/H.68,Bill Status H.68,H.68,Introduced,2026-03-14,"Bill Status H.68 Skip to content Skip to navigation Skip to subnav Searching 2023-2024 Session Return to current session Vermont General Assembly Toggle navigation Toggle search Home Bills & Resolutions Search Bill, Act & Resolution Search Bills Released for Introduction House Bills Senate Bills All",community land trust,Low,,Definition of CLT,7c2f04e0aabe078004d4e605794deccbb1949b51918b85acf9a80095975e7054,2024
MA,legislature site,https://malegislature.gov/Bills/194/S21,Bill S.21,S21,Unknown,2026-03-14,"Bill S.21 Skip to Content March 14, 2026 | 45°F The 194th General Court of the Commonwealth of Massachusetts MyLegislature MyLegislature Use MyLegislature to follow bills, hearings, and legislators that interest you. Sign in with MyLegislature Account * Indicates required fields Email* Password* For",community land trust,Low,,Definition of CLT,08f25e63b9c131ff3ba5ef3489d354c2aecc4e27d801022d519f64a24c6ceb1b,194
MA,legislature site,https://malegislature.gov/Bills/194/S22,Bill S.22,S22,Unknown,2026-03-14,"Bill S.22 Skip to Content March 14, 2026 | 45°F The 194th General Court of the Commonwealth of Massachusetts MyLegislature MyLegislature Use MyLegislature to follow bills, hearings, and legislators that interest you. Sign in with MyLegislature Account * Indicates required fields Email* Password* For",community land trust,Low,,Definition of CLT,2b8a52e16e76fa19c9e77f2f5864a04a81f88acb933b51ce751f119c57c36a4d,194
